Use Case,Prompt,Category,Tool Compatibility,Prompt Type,Description/Notes,Tab
Optimizing CTAs for maximum click-through rates,"Design 10 high-converting CTA variations for [specific funnel stage] targeting [audience]. For each CTA provide:
- Button text (action-oriented, under 5 words)
- Supporting microcopy (value statement)
- Visual design suggestions (color, size, placement)
- Contextual triggers (when/where to show)
- A/B test hypothesis

Include CTAs for different user intent levels (high, medium, low) and different devices (desktop, mobile). Focus on reducing friction and increasing urgency. Provide psychological reasoning for each variation.",Conversion Optimization,"ChatGPT, Lovable, Replit, Figma",Design,Generates diverse CTA options optimized for different scenarios and user psychology. Includes testing framework for continuous optimization. Best for improving conversion rates at critical decision points.,🎨 Visual Design & Modern Aesthetics
Setting up A/B testing framework for funnel optimization,"Create a comprehensive A/B testing strategy for [specific funnel element] with:

1. Hypothesis framework:
   - Current performance baseline: [metrics]
   - Proposed changes and rationale
   - Expected impact and minimum detectable effect

2. Test variations:
   - Control version description
   - 3-5 challenger variations with specific changes
   - Prioritization based on potential impact

3. Testing parameters:
   - Sample size calculation
   - Test duration and traffic allocation
   - Success metrics and statistical significance threshold

4. Implementation plan:
   - Technical setup requirements
   - Tool recommendations (free and paid)
   - Monitoring and iteration strategy

Provide code examples for implementation and analysis dashboards. Include common pitfalls to avoid.",Conversion Optimization,"ChatGPT, Google Optimize, Optimizely, Replit",Analysis,Establishes a scientific testing framework for continuous funnel improvement. Includes statistical rigor and practical implementation guidance. Best for data-driven optimization of any funnel element.,💎 UI/UX Excellence
Implementing urgency and scarcity tactics ethically,"Design ethical urgency and scarcity mechanisms for [offer/product] that increase conversions without manipulating users:

1. Time-based urgency:
   - Limited-time offer copy templates
   - Countdown timer implementations (code)
   - Deadline communication strategy

2. Quantity scarcity:
   - Stock level displays
   - Limited availability messaging
   - Waitlist strategies

3. Social proof urgency:
   - 'Others are viewing' notifications
   - Recent purchase popups
   - Trending product indicators

4. FOMO triggers:
   - Bonus expiration notices
   - Early-bird pricing tiers
   - Exclusive access frameworks

Ensure all tactics are genuine and transparent. Provide A/B testing framework to measure impact. Include psychological principles behind each tactic.",Conversion Optimization,"ChatGPT, Lovable, Replit, Proof",Strategy,Creates urgency mechanisms that drive action while maintaining ethical standards. Balances persuasion with transparency. Can increase conversion rates by 15-30% when implemented correctly.,💎 UI/UX Excellence
Optimizing checkout process to reduce cart abandonment,"Redesign the checkout/signup flow for [product/service] to minimize friction and maximize completions:

1. Flow optimization:
   - Reduce form fields to absolute minimum
   - Implement autofill and smart validation
   - Add progress indicator for multi-step forms
   - Enable guest checkout option
   - Optimize payment gateway integration

2. Trust elements:
   - Security badges and SSL indicators
   - Money-back guarantee prominence
   - Clear pricing and no hidden fees
   - Customer support visibility

3. Mobile optimization:
   - One-column layouts
   - Large input fields and buttons
   - Native mobile payment options (Apple Pay, Google Pay)
   - Minimal typing required

4. Abandonment prevention:
   - Exit-intent popups with offers
   - Cart abandonment email sequence
   - SMS recovery campaigns
   - Retargeting ad strategy

Provide wireframes, code examples, and before/after conversion projections. Target: <10% abandonment rate.",Conversion Optimization,"Lovable, Replit, ChatGPT, Stripe",Design,Streamlines the final conversion step to reduce abandonment. Focuses on removing friction and building trust. Can increase completion rates by 20-40% with proper optimization.,💎 UI/UX Excellence
Implementing exit-intent optimization strategies,"Create a comprehensive exit-intent strategy to recover abandoning visitors:

1. Exit-intent popup variations:
   - Discount offer popup (with urgency)
   - Lead magnet offer (value-first)
   - Survey popup (objection discovery)
   - Content recommendation (engagement)
   - Chat invitation (support offer)

2. Segmentation:
   - First-time vs returning visitors
   - Time on site (engaged vs bounce)
   - Pages visited (interest level)
   - Cart value (for e-commerce)

3. Copywriting:
   - Attention-grabbing headlines
   - Value propositions
   - Urgency and scarcity language
   - Clear CTA copy
   - Easy dismissal option

4. Technical implementation:
   - Exit-intent detection code
   - Display frequency rules
   - Mobile optimization
   - A/B testing framework
   - Performance tracking

Provide popup copy variations, design mockups, and code snippets. Include ethical considerations and best practices. Target: 10-15% conversion of exit-intent visitors.",Conversion Optimization,"Lovable, Replit, OptinMonster, ChatGPT",Design,Captures leaving visitors before they abandon the funnel. Provides last-chance conversion opportunity. Can recover 10-15% of abandoning traffic when implemented strategically.,💎 UI/UX Excellence
Implementing AI-powered dynamic pricing in funnel,"Create a dynamic pricing strategy using AI for [product/service]:

1. Pricing intelligence:
   - Competitor price monitoring
   - Demand forecasting
   - Customer willingness to pay analysis
   - Seasonal and trend adjustments

2. Personalization:
   - User segment-based pricing
   - Behavioral pricing triggers
   - Location-based adjustments
   - Time-sensitive offers

3. Implementation:
   - AI pricing algorithm design
   - A/B testing framework
   - Price display strategies
   - Anchor pricing techniques

4. Optimization:
   - Revenue vs conversion balance
   - Price sensitivity testing
   - Psychological pricing rules ($99 vs $100)
   - Bundle and tier pricing

Provide pricing algorithm logic, implementation code, and ethical guidelines. Include profit margin and conversion rate projections.",Conversion Optimization,"ChatGPT, Replit, Price Intelligently, Custom AI",Strategy,Uses AI to optimize pricing for maximum revenue while maintaining conversions. Balances profit margins with conversion rates dynamically. Can increase revenue by 15-25% compared to static pricing.,💎 UI/UX Excellence
Optimizing thank you page for post-purchase engagement,"Transform the thank you page into a revenue and engagement driver:

1. Immediate upsells:
   - One-click order bumps
   - Complementary product recommendations
   - Upgrade offers
   - Time-limited bonuses

2. Engagement mechanisms:
   - Social media follow encourages
   - Referral program introduction
   - Community/group invitations
   - Content recommendations

3. Value delivery:
   - Next steps and expectations
   - Onboarding resource links
   - Support contact information
   - Personal video message

4. Data collection:
   - Feedback and survey requests
   - Additional profile information
   - Preference center
   - Communication opt-ins

Provide thank you page templates for different offer types, upsell strategies, and implementation code. Target: 20-30% take rate on post-purchase offers.",Conversion Optimization,"Lovable, Replit, ChatGPT, ClickFunnels",Design,Maximizes value of high-intent moment post-purchase. Most neglected but highest-converting page in funnel. Can increase average order value by 15-25% with strategic optimization.,🎯 Conversion & Funnel Optimization
Creating crisis/objection handling content library,"Build a comprehensive objection handling library for [product/service]:

1. Objection identification:
   - Survey existing customers and prospects
   - Analyze sales call recordings
   - Review support tickets and FAQs
   - Competitor comparison concerns

2. Response framework:
   - For each objection, create:
     * Empathy statement
     * Educational response
     * Evidence/proof points
     * Reframe/perspective shift
     * Call to action

3. Content formats:
   - FAQ page
   - Objection handling scripts
   - Email templates
   - Video responses
   - Case studies addressing specific concerns

4. Strategic placement:
   - Pre-emptive objection handling in copy
   - Chat bot responses
   - Sales enablement materials
   - Targeted content for different funnel stages

Provide complete objection library with 15-20 common objections and responses. Include testing methodology to improve over time.",Conversion Optimization,"ChatGPT, Gong, Lovable, Notion",Content,Addresses concerns proactively to reduce friction and increase trust. Proper objection handling can increase conversions by 30-50%. Essential resource for sales team and automated touchpoints.,💎 UI/UX Excellence
Building a conversion-focused homepage with 1:1 attention ratio,"Design a laser-focused homepage with a singular conversion goal and 1:1 attention ratio. Create a minimalist layout centered on one primary action (sign-up, purchase, or inquiry). Include: (1) A powerful above-the-fold hero section with a clear unique value proposition in 8-12 words, (2) One prominent CTA button using high-contrast colors with action-oriented copy like 'Start Your Free Trial' or 'Get Instant Access', (3) Benefit-focused subheadline addressing user pain points, (4) Trust signals (badges, testimonials, or social proof) positioned near the CTA, (5) Remove all distracting elements - no multiple CTAs or competing actions. Use ample white space (30%+ of layout) to direct focus. Ensure the CTA is above the fold and repeated once after key content. Mobile-optimized with sticky CTA.",Conversion-Focused Elements,"Lovable, Replit, ChatGPT, v0, Bolt",Strategy,Creates ultra-focused conversion-centered homepages following Unbounce's attention ratio principle. This approach can increase conversion rates by 20-50% by eliminating distractions and maintaining singular focus on one user action.,✨ Award-Winning Homepage Designs
Implementing a terminal/command-line styled homepage for tech brands,"Design a unique terminal-style homepage that appeals to technical audiences. Terminal aesthetic: (1) Visual theme: Dark background (#0a0e14 or similar terminal black), Monospace font (Fira Code, Source Code Pro, Courier), Green (#00ff00) or amber (#ffb000) text for retro terminal feel, Blinking cursor animation, (2) Interactive command interface: Command input field that accepts typed commands, Auto-suggestions for available commands, Command history (up/down arrows), Help command listing available actions, (3) Homepage commands: 'about' - Display company info, 'projects' or 'portfolio' - Show work, 'skills' or 'services' - List offerings, 'contact' - Show contact form, 'help' - List all commands, 'clear' - Clear terminal screen, (4) ASCII art: Logo rendered in ASCII, Decorative ASCII borders or dividers, (5) Output formatting: Syntax-highlighted code blocks, Indented structured output, Loading animations with ASCII spinners. Include option to switch to 'GUI mode' for broader accessibility. Reference: Terminal-style portfolio in Codecademy Lovable article.",Creative & Themed Design,"Lovable, Replit, ChatGPT, v0, Bolt",Design,"Creates memorable, distinctive homepages for developer tools, tech startups, or personal portfolios. Terminal interfaces resonate with technical audiences and demonstrate technical prowess. Unique approach that stands out in portfolios.",✨ Award-Winning Homepage Designs
Admin panel development,"Create an admin dashboard with:
- Sidebar navigation (collapsible on mobile)
- Top bar with user profile, notifications, search
- Main content area with data tables
- Charts using [Chart.js/Recharts]
- CRUD operations for [entity]
- Role-based access control

Use React Admin or build custom.",Dashboard & Admin Panels,"Lovable, Cursor, Bolt.new",Training Wheels,"Full admin dashboard structure. Start with layout, then add features iteratively to avoid overwhelming the AI.",💎 UI/UX Excellence
Data table with advanced features,"Implement data table with:
- Sorting by columns
- Pagination controls
- Search/filter functionality
- Row selection (checkbox)
- Bulk actions
- Export to CSV
- Responsive mobile view

Use TanStack Table or AG Grid.",Dashboard & Admin Panels,All tools,Training Wheels,Feature-rich data table. Consider using a library for complex requirements. Build incrementally.,💎 UI/UX Excellence
Kanban project management,"Build a kanban board:
- Drag and drop cards between columns
- Add/edit/delete cards
- Card details modal
- Filter and search cards
- User assignments
- Due dates

Use react-beautiful-dnd or dnd-kit.",Dashboard & Admin Panels,"Cursor, Lovable, Replit",Training Wheels,Project management board. Complex drag-and-drop feature best implemented with a library.,💎 UI/UX Excellence
Content moderation system,"Implement content moderation:
- Flag inappropriate content
- Admin review queue
- Approve/reject actions
- Ban user functionality
- Automated content filtering
- Appeal process

Log all moderation actions for audit trail.",Dashboard & Admin Panels,"Cursor, Replit, Windsurf",Training Wheels,Moderation system for UGC. Include both automated and manual review processes.,📊 Dashboard & Admin Panels
Customizable dashboard,"Build a dashboard with widgets:
- Draggable/resizable widgets
- Widget library to choose from
- Save custom layout per user
- Data refresh intervals
- Export individual widgets
- Responsive grid layout

Use react-grid-layout or similar.",Dashboard & Admin Panels,"Cursor, Lovable, Windsurf",Training Wheels,Customizable dashboard with widgets. Complex feature requiring grid system and state management.,💎 UI/UX Excellence
Data visualization,"Create data visualizations:
- Charts for [data type]
- Interactive legends
- Tooltips on hover
- Export chart as image
- Responsive sizing
- Real-time data updates

Use Chart.js, Recharts, or D3.js.",Dashboard & Admin Panels,All tools,Training Wheels,Data visualization with charts. Choose library based on complexity and customization needs.,🎨 Visual Design & Modern Aesthetics
Building a data-driven homepage with animated statistics and metrics,"Design a homepage that showcases impressive statistics and data through engaging visualizations. Data presentation: (1) Animated counters: Numbers that count up when scrolled into view, Large font size (48-72px) for impact, Supporting labels below numbers, Format: '50,000+ Customers', '$2M+ Revenue', '98% Satisfaction', (2) Progress bars: Animated skill bars or metric bars, Color-coded by category, Percentage labels, Smooth fill animation on reveal, (3) Charts and graphs: Simple, clean chart designs using Chart.js or similar, Bar charts for comparisons, Line graphs for growth trends, Pie charts for distributions, Interactive tooltips on hover, (4) Icon-based stats: Combine icons with numbers for visual interest, Grid layout of key metrics, Subtle entrance animations (fade + slide), (5) Live data: Real-time updates for dynamic metrics, 'Last updated' timestamp. Use data visualization best practices: limit decimals, use appropriate chart types, maintain consistent color coding. Ensure all data has text alternatives for accessibility.",Data Visualization & Metrics,"Lovable, Replit, ChatGPT, v0, Bolt",Design,Creates impactful data-driven homepages that build credibility through numbers. Animated statistics capture attention and communicate scale effectively. Increases trust and perceived success by showcasing impressive metrics.,✨ Award-Winning Homepage Designs
